ma_truong,ten_truong,ma_nganh,ten_nganh,to_hop_xet_tuyen,diem_chuan,hoc_phi,nam_tuyen_sinh,phuong_thuc_khac,mo_ta_nganh,chuong_trinh_dao_tao,co_hoi_nghe_nghiep,nhom_nganh
ANH,Học viện An Ninh Nhân Dân,7860100|21,"Nhóm ngành nghiệp vụ An ninh (Thí sinh Nam, miền Bắc)",A00; A01; C03; D01; X02; X03; X04,21.23,,2026,--,"Ngành Nhóm Ngành Nghiệp Vụ An Ninh đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7480201|20CA1,Công nghệ thông tin Nam - Cả nước,CA1,21.98,,2025,--,"Đào tạo kiến thức nền tảng và chuyên sâu về thiết kế, phát triển, triển khai và bảo trì các hệ thống phần mềm, mạng máy tính, cơ sở dữ liệu và ứng dụng thông minh.","Thời gian đào tạo 4 năm (135 tín chỉ). Gồm: Lập trình hướng đối tượng, Cấu trúc dữ liệu và giải thuật, Cơ sở dữ liệu, Mạng máy tính, Phát triển ứng dụng Web/Mobile, Điện toán đám mây và Đồ án tốt nghiệp.","Kỹ sư phát triển phần mềm (Frontend, Backend, Fullstack), Kỹ sư DevOps, Chuyên viên quản trị cơ sở dữ liệu, Chuyên viên quản trị mạng tại các công ty công nghệ, ngân hàng và doanh nghiệp đa quốc gia.",Máy tính và công nghệ thông tin
ANH,Học viện An Ninh Nhân Dân,7480202|22CA1,Ngành An toàn thông tin Phía Nam - Nam,CA1,20.63,,2025,--,"Trang bị kiến thức và kỹ năng bảo vệ hệ thống thông tin, phân tích mã độc, đánh giá an ninh mạng, mật mã học và ứng phó sự cố an ninh số.","Thời gian đào tạo 4 năm (135 tín chỉ). Gồm: Mật mã học, An toàn mạng, Kiểm thử xâm nhập (Penetration Testing), Điều tra số (Digital Forensics), Kỹ thuật dịch ngược mã độc và Quản trị an ninh mạng.","Chuyên viên an ninh mạng (SOC Analyst), Kỹ sư bảo mật hệ thống, Chuyên viên kiểm thử xâm nhập (Ethical Hacker), Chuyên viên ứng cứu sự cố bảo mật tại các ngân hàng, tập đoàn viễn thông và cơ quan chính phủ.",Máy tính và công nghệ thông tin
ANH,Học viện An Ninh Nhân Dân,7480202|21CA1,Ngành An toàn thông tin Phía Bắc - Nam,CA1,24.48,,2025,--,"Trang bị kiến thức và kỹ năng bảo vệ hệ thống thông tin, phân tích mã độc, đánh giá an ninh mạng, mật mã học và ứng phó sự cố an ninh số.","Thời gian đào tạo 4 năm (135 tín chỉ). Gồm: Mật mã học, An toàn mạng, Kiểm thử xâm nhập (Penetration Testing), Điều tra số (Digital Forensics), Kỹ thuật dịch ngược mã độc và Quản trị an ninh mạng.","Chuyên viên an ninh mạng (SOC Analyst), Kỹ sư bảo mật hệ thống, Chuyên viên kiểm thử xâm nhập (Ethical Hacker), Chuyên viên ứng cứu sự cố bảo mật tại các ngân hàng, tập đoàn viễn thông và cơ quan chính phủ.",Máy tính và công nghệ thông tin
ANH,Học viện An Ninh Nhân Dân,7480202|11CA1,Ngành An toàn thông tin Phía Bắc - Nữ,CA1,24.69,,2025,--,"Trang bị kiến thức và kỹ năng bảo vệ hệ thống thông tin, phân tích mã độc, đánh giá an ninh mạng, mật mã học và ứng phó sự cố an ninh số.","Thời gian đào tạo 4 năm (135 tín chỉ). Gồm: Mật mã học, An toàn mạng, Kiểm thử xâm nhập (Penetration Testing), Điều tra số (Digital Forensics), Kỹ thuật dịch ngược mã độc và Quản trị an ninh mạng.","Chuyên viên an ninh mạng (SOC Analyst), Kỹ sư bảo mật hệ thống, Chuyên viên kiểm thử xâm nhập (Ethical Hacker), Chuyên viên ứng cứu sự cố bảo mật tại các ngân hàng, tập đoàn viễn thông và cơ quan chính phủ.",Máy tính và công nghệ thông tin
ANH,Học viện An Ninh Nhân Dân,7480202|12CA1,Ngành An toàn thông tin Phía Nam - Nữ,CA1,24.15,,2025,--,"Trang bị kiến thức và kỹ năng bảo vệ hệ thống thông tin, phân tích mã độc, đánh giá an ninh mạng, mật mã học và ứng phó sự cố an ninh số.","Thời gian đào tạo 4 năm (135 tín chỉ). Gồm: Mật mã học, An toàn mạng, Kiểm thử xâm nhập (Penetration Testing), Điều tra số (Digital Forensics), Kỹ thuật dịch ngược mã độc và Quản trị an ninh mạng.","Chuyên viên an ninh mạng (SOC Analyst), Kỹ sư bảo mật hệ thống, Chuyên viên kiểm thử xâm nhập (Ethical Hacker), Chuyên viên ứng cứu sự cố bảo mật tại các ngân hàng, tập đoàn viễn thông và cơ quan chính phủ.",Máy tính và công nghệ thông tin
ANH,Học viện An Ninh Nhân Dân,7860100|13CA2|8,Nghiệp vụ An ninh Địa bàn 8 - Nữ,CA2,19.63,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 8 - Nữ đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7860100|13CA1|1,Nghiệp vụ An ninh Địa bàn 1 - Nữ,CA1,25.58,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 1 - Nữ đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7860100|23CA1|8,Nghiệp vụ An ninh Địa bàn 8 - Nam,CA1,18.78,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 8 - Nam đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7860100|23CA1|2,Nghiệp vụ An ninh Địa bàn 2 - Nam,CA1,24.63,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 2 - Nam đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7860100|13CA1|3,Nghiệp vụ An ninh Địa bàn 3 - Nữ,CA1,26.27,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 3 - Nữ đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7860100|23CA2|2,Nghiệp vụ An ninh Địa bàn 2 - Nam,CA2,24.63,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 2 - Nam đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7860100|23CA2|1,Nghiệp vụ An ninh Địa bàn 1 - Nam,CA2,23.05,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 1 - Nam đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7860100|13CA1|2,Nghiệp vụ An ninh Địa bàn 2 - Nữ,CA1,26.09,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 2 - Nữ đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7860100|23CA1|3,Nghiệp vụ An ninh Địa bàn 3 - Nam,CA1,23.03,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 3 - Nam đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7860100|13CA2|3,Nghiệp vụ An ninh Địa bàn 3 - Nữ,CA2,26.27,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 3 - Nữ đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7860100|13CA2|1,Nghiệp vụ An ninh Địa bàn 1 - Nữ,CA2,25.58,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 1 - Nữ đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7860100|23CA2|8,Nghiệp vụ An ninh Địa bàn 8 - Nam,CA2,18.78,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 8 - Nam đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7860100|23CA1|1,Nghiệp vụ An ninh Địa bàn 1 - Nam,CA1,23.05,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 1 - Nam đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7860100|13CA2|2,Nghiệp vụ An ninh Địa bàn 2 - Nữ,CA2,26.09,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 2 - Nữ đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7860100|13CA1|8,Nghiệp vụ An ninh Địa bàn 8 - Nữ,CA1,19.63,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 8 - Nữ đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANH,Học viện An Ninh Nhân Dân,7860100|23CA2|3,Nghiệp vụ An ninh Địa bàn 3 - Nam,CA2,23.03,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 3 - Nam đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANS,Đại học An Ninh Nhân Dân,7860100|12,"Nhóm ngành nghiệp vụ An ninh (Thí sinh Nữ, miền Nam)",A00; A01; C03; D01; X02; X03; X04,23.87,,2026,--,"Ngành Nhóm Ngành Nghiệp Vụ An Ninh đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANS,Đại học An Ninh Nhân Dân,7860100|22,"Nhóm ngành nghiệp vụ An ninh (Thí sinh Nam, miền Nam)",A00; A01; C03; D01; X02; X03; X04,20.69,,2026,--,"Ngành Nhóm Ngành Nghiệp Vụ An Ninh đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANS,Đại học An Ninh Nhân Dân,7860100|23CA2|8,Nghiệp vụ An ninh Địa bàn 8 - Nam,CA2,17.66,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 8 - Nam đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANS,Đại học An Ninh Nhân Dân,7860100|13CA1|8,Nghiệp vụ An ninh Địa bàn 8 - Nữ,CA1,19.46,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 8 - Nữ đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANS,Đại học An Ninh Nhân Dân,7860100|13CA1|6,Nghiệp vụ An ninh Địa bàn 6 - Nữ,CA1,25.83,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 6 - Nữ đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
ANS,Đại học An Ninh Nhân Dân,7860100|23CA1|6,Nghiệp vụ An ninh Địa bàn 6 - Nam,CA1,23.28,,2025,--,"Ngành Nghiệp Vụ An Ninh Địa Bàn 6 - Nam đào tạo nguồn nhân lực chất lượng cao, nắm vững lý thuyết nền tảng và kỹ năng tác nghiệp chuyên nghiệp theo chuẩn quốc tế.","Thời gian đào tạo 4 năm (120-140 tín chỉ) gồm khối kiến thức đại cương, cơ sở ngành, chuyên sâu và kỳ thực tập nghề nghiệp.","Đảm nhiệm các vị trí chuyên môn, quản lý và nghiên cứu tại các cơ quan, tổ chức, doanh nghiệp trong nước và quốc tế.",Đào tạo đại học
